gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,13,Fiber optic,Month-to-month,75.55332932967913,977.3680936962144,Yes
Female,0,Yes,Yes,22,DSL,Two year,71.0623313870413,1570.2451832068914,No
Female,0,Yes,Yes,20,Fiber optic,Month-to-month,107.90632660997774,2163.428864001049,No
Female,0,No,No,5,Fiber optic,One year,85.37807958403098,458.81567949728844,Yes
Male,0,No,No,32,No,Two year,23.214451945010047,,Yes
Female,0,No,Yes,30,No,Two year,20.492036264328387,607.2019276502555,Yes
Male,0,Yes,No,26,DSL,One year,,1913.102876575453,No
Male,0,Yes,Yes,4,Fiber optic,Month-to-month,107.35034009808902,464.4087437212686,Yes
Male,0,Yes,Yes,67,,Month-to-month,64.3659095273701,4302.6091708698,No
Male,0,Yes,Yes,43,DSL,Month-to-month,,2148.0826076662493,No
Male,0,Yes,Yes,30,Fiber optic,One year,78.5926666306872,2336.433007225122,No
Female,0,No,No,16,DSL,One year,42.01075404698452,689.6263165937954,No
Female,0,No,No,71,DSL,Two year,41.82445927114078,2992.539225226273,No
Female,0,Yes,Yes,39,No,Month-to-month,19.678403495208176,760.5776071779051,No
Female,0,Yes,Yes,41,Fiber optic,One year,75.02662661616111,3103.8626653846973,No
Female,0,No,No,31,Fiber optic,Two year,97.80538364612215,3025.3992334861637,Yes
Male,0,Yes,No,49,,Two year,23.952253194861925,1174.2612695528699,No
Female,0,No,No,13,Fiber optic,One year,92.24728910840732,1208.992962548829,No
Female,0,No,No,41,DSL,One year,63.76268734348759,2590.268029732993,No
Male,0,No,No,28,Fiber optic,Month-to-month,102.95508726767568,2848.7702414439477,Yes
Female,0,Yes,Yes,64,Fiber optic,Month-to-month,102.4100859941289,6561.240151521066,No
Male,0,No,No,19,DSL,Month-to-month,50.434263472833294,939.7026745059793,No
Female,1,Yes,No,72,Fiber optic,Month-to-month,110.48135101480514,7924.139268756298,No
Male,0,No,No,25,Fiber optic,Month-to-month,115.8854834959615,2916.362019059063,No
Female,1,Yes,Yes,38,DSL,One year,52.637533888927805,2038.1472401745018,Yes
Female,0,Yes,No,3,DSL,One year,40.682616662642715,143.4794757383172,No
Male,0,Yes,No,2,DSL,Month-to-month,75.9661674659402,122.31775095036566,No
Male,0,Yes,No,5,No,Month-to-month,38.0887183238369,194.90013641310014,Yes
Male,0,No,No,61,Fiber optic,Month-to-month,72.54732202065168,4417.649813146787,No
Male,0,No,No,20,Fiber optic,Month-to-month,70.24782959296061,1383.6360291359872,Yes
Male,0,No,No,38,Fiber optic,Month-to-month,110.8202391496371,4213.29724494785,Yes
Male,0,Yes,No,36,Fiber optic,Two year,85.07316772415533,3060.9457602345738,Yes
Male,0,No,Yes,46,Fiber optic,Month-to-month,115.72910836479943,5317.721970981787,No
Male,0,Yes,Yes,37,Fiber optic,Month-to-month,80.83717866347733,3015.678390368805,No
Female,0,No,No,54,No,Month-to-month,36.52886540316467,2005.0554249413333,No
Female,0,No,No,21,No,One year,16.716106743125916,342.9566008475662,Yes
Male,0,Yes,Yes,21,No,One year,21.51592118284934,447.3496003429539,Yes
Female,0,No,No,70,Fiber optic,Month-to-month,118.65644395728205,8299.762745318369,No
Female,1,Yes,Yes,60,No,Two year,20.77991635828206,1259.6682472680163,No
Female,0,Yes,No,36,Fiber optic,Two year,76.65064920375205,2767.7092827724423,No
Female,1,Yes,No,11,No,Month-to-month,36.42636631182488,382.9504087091592,No
Male,0,Yes,Yes,31,No,Month-to-month,17.945019794036977,553.0766925384569,No
Female,0,No,Yes,37,No,Month-to-month,17.43640271448759,607.723468355157,No
Male,0,Yes,Yes,60,Fiber optic,Month-to-month,86.1712567094768,5130.989162153946,No
Female,0,Yes,Yes,61,Fiber optic,Two year,101.76642532984798,6178.231868079549,Yes
Female,1,No,Yes,67,DSL,Month-to-month,68.42985495114783,4578.514768905922,No
Female,0,No,Yes,29,DSL,Month-to-month,75.24955135309582,2197.5172116661483,No
Male,0,No,Yes,67,Fiber optic,Month-to-month,97.04557629795531,6482.491713810575,No
Female,0,No,No,71,DSL,Month-to-month,55.73671147043902,3954.1537922812627,No
Male,0,No,No,67,Fiber optic,Two year,,5897.56101259031,No
Female,1,Yes,No,16,Fiber optic,Month-to-month,112.3451364238737,1835.9217634729118,Yes
Male,0,Yes,No,45,Fiber optic,Month-to-month,106.19076547413327,4779.980440786203,No
Female,0,Yes,No,34,No,One year,37.635725343128485,1282.1253851872696,Yes
Male,0,Yes,Yes,44,Fiber optic,Month-to-month,118.2017727865807,5185.74510260759,No
Male,0,No,Yes,42,Fiber optic,Month-to-month,85.00254180419037,3616.0241015531465,Yes
Female,0,Yes,Yes,35,Fiber optic,Month-to-month,96.48370593504197,3396.044059879355,Yes
Male,0,No,No,30,Fiber optic,Month-to-month,101.59104036824165,,Yes
Female,0,Yes,No,53,DSL,Month-to-month,46.5539578710583,2504.810881355428,No
Female,0,Yes,No,58,DSL,Month-to-month,42.13388135699939,2461.6848693310044,No
Female,0,Yes,No,28,No,Month-to-month,36.694097852882834,1033.2837541263305,No
Female,0,No,No,15,Fiber optic,One year,96.77617553776867,1468.1504634294156,No
Female,0,No,Yes,38,Fiber optic,Month-to-month,98.53871081800196,3772.8667973483234,Yes
Female,0,No,Yes,50,Fiber optic,Two year,97.74571727139774,4868.460405404951,No
Female,0,Yes,Yes,13,DSL,Month-to-month,70.19842819330762,902.8388390055432,Yes
Female,0,No,No,35,Fiber optic,One year,77.27509723410216,2703.6677804709334,No
Female,0,Yes,No,24,DSL,Two year,64.56193763086131,1518.4863524235232,Yes
Female,0,Yes,Yes,65,Fiber optic,Month-to-month,93.47397557888151,,No
Female,0,No,No,18,Fiber optic,One year,114.84790797538622,2060.3761057233187,Yes
Male,0,Yes,Yes,58,Fiber optic,Two year,95.98104689481627,5557.25880034679,Yes
Male,0,No,No,26,Fiber optic,Month-to-month,117.14674870370828,3029.741350747772,No
Female,0,Yes,Yes,29,No,Two year,23.831324854497666,690.2570457963457,No
Female,0,No,Yes,72,Fiber optic,Month-to-month,118.34473531949953,8524.715044871442,No
Female,0,No,No,44,No,Month-to-month,36.878948702294196,1647.5750081682727,Yes
Female,0,Yes,No,5,Fiber optic,One year,99.21316448676774,521.6694841735384,Yes
Female,0,,No,33,Fiber optic,Month-to-month,87.68549666595123,2865.279580460109,Yes
Female,0,Yes,No,5,DSL,One year,55.036934298102395,286.6984281867029,No
Female,0,No,No,36,DSL,Two year,70.91008345833167,2583.510570380396,No
Female,0,Yes,No,13,Fiber optic,Two year,99.03156755845222,1281.844870727557,Yes
Male,0,Yes,No,25,DSL,Month-to-month,56.06350341877284,1397.3388841878377,Yes
Female,0,Yes,Yes,58,Fiber optic,Two year,101.80274807060822,5894.6402383373625,No
Male,0,Yes,Yes,2,Fiber optic,Month-to-month,106.66166989504723,226.77878508386075,Yes
Female,0,No,No,36,No,Month-to-month,15.572512813961648,567.7939652400333,No
Female,0,Yes,Yes,25,No,Month-to-month,17.246570027937754,455.6554223058302,No
Male,0,Yes,No,34,DSL,One year,43.77941761628317,1485.7202651063294,No
Female,0,Yes,No,12,,Month-to-month,49.277352210533394,622.8281917233128,No
Male,0,Yes,Yes,19,Fiber optic,One year,91.3495219613657,1750.5786512477823,No
Female,0,No,No,37,DSL,Month-to-month,72.14599597170218,2698.810342774148,No
Female,0,No,No,1,DSL,Month-to-month,54.043961399982294,39.14789702530946,Yes
Male,0,Yes,No,60,Fiber optic,Two year,70.87388941903023,4291.62460890335,No
Female,0,No,Yes,67,No,Month-to-month,27.084046323793224,1800.7439794857464,No
Male,1,No,No,49,Fiber optic,Month-to-month,119.83142977123109,5859.024164555467,No
Female,0,Yes,No,46,Fiber optic,One year,87.45104978274595,4012.9068381713582,No
Male,1,No,No,48,Fiber optic,Month-to-month,118.06272593836574,5654.503113307696,No
Male,0,Yes,Yes,68,Fiber optic,Two year,75.06725655682114,5151.912274393383,No
Female,1,No,No,19,Fiber optic,Month-to-month,78.65498289526523,1507.490193133795,Yes
Female,0,No,No,40,Fiber optic,Month-to-month,106.2061035072854,4260.641136014699,No
Male,0,Yes,No,6,DSL,Month-to-month,60.04849795882825,313.00312470987143,Yes
Female,0,No,No,63,No,Month-to-month,34.12804508664715,2182.204081549397,No
Female,0,No,No,35,Fiber optic,One year,113.1779172514445,3935.2655637308862,No
Female,0,Yes,Yes,72,Fiber optic,Month-to-month,82.55424380305173,5942.996707037622,No
Male,0,No,No,61,No,Two year,32.070729260993545,1938.7097013087887,No
Male,0,Yes,Yes,5,DSL,Month-to-month,64.30404946535025,327.5117605588212,Yes
Male,0,No,No,37,DSL,Month-to-month,74.46140116768524,2793.423373451114,Yes
Male,0,No,No,11,,One year,91.50519503049414,982.5215902962933,Yes
Male,0,Yes,Yes,40,No,One year,16.2967607677665,633.8968614566169,Yes
Male,1,Yes,No,65,Fiber optic,One year,98.7093063636256,,No
Male,0,No,Yes,8,DSL,One year,78.35513276473831,666.0910464811759,No
Male,1,Yes,Yes,11,Fiber optic,Month-to-month,70.73155897526117,767.4318133027068,Yes
Male,0,Yes,No,71,DSL,One year,49.61031953689819,3504.427011361071,No
Female,0,Yes,Yes,58,Fiber optic,Month-to-month,85.803389498206,4980.694231154868,No
Male,0,Yes,No,48,DSL,Month-to-month,70.63355551563902,3390.597813169044,No
Female,0,Yes,No,13,No,Two year,23.081923061704046,274.44027827120397,Yes
Female,0,Yes,No,60,Fiber optic,Month-to-month,81.9541931598157,,No
Female,0,Yes,Yes,49,No,One year,31.213950361676027,1480.2846148843657,No
Male,0,No,No,67,DSL,Month-to-month,41.85621155843998,2803.605829308931,No
Male,1,Yes,Yes,7,DSL,Month-to-month,46.82387439834988,296.61863772698,Yes
Male,0,Yes,Yes,25,No,Month-to-month,25.200755716736094,691.7426893646657,No
Male,0,Yes,No,23,DSL,One year,54.22399849360124,1261.022843722328,Yes
Female,0,No,No,51,Fiber optic,Month-to-month,87.35829095916816,4461.617156084392,No
Male,0,Yes,Yes,47,DSL,Month-to-month,44.34220052478647,2097.257257454299,Yes
Male,0,Yes,Yes,5,Fiber optic,Two year,88.04200097248983,427.92601145883475,Yes
Male,0,Yes,Yes,13,DSL,Month-to-month,71.91971087965611,931.4017331312176,Yes
Male,0,No,No,42,Fiber optic,Month-to-month,90.69221008986976,3821.707642136719,No
Male,0,No,Yes,5,Fiber optic,Two year,99.30855924078425,472.1456576175582,Yes
Female,0,No,No,23,Fiber optic,Two year,78.17897046586587,1815.1938381540654,Yes
Male,0,No,Yes,62,DSL,Month-to-month,42.788454538743046,2705.5622178599415,No
Female,1,No,No,1,Fiber optic,Two year,113.99780209657803,77.00034189861553,Yes
Male,0,Yes,Yes,54,Fiber optic,Month-to-month,86.56862980729794,4688.02542482354,No
Female,0,,No,72,DSL,Month-to-month,54.013489322725306,3868.5101420813357,No
Male,0,Yes,Yes,3,Fiber optic,Two year,113.88439247394292,358.9268287453775,Yes
Male,1,No,No,64,No,Two year,32.694283722718595,2100.9067565233927,No
Female,0,No,No,51,DSL,Month-to-month,70.25050843950451,3629.766075266709,No
Female,0,Yes,No,2,Fiber optic,Month-to-month,104.10017420838312,250.73886842478538,Yes
Female,0,Yes,Yes,49,Fiber optic,Month-to-month,,3652.988647012238,No
Male,0,Yes,Yes,31,DSL,Month-to-month,78.3198328422491,2447.020845357531,No
Female,0,No,No,3,DSL,One year,,247.77324801125434,Yes
Male,0,No,No,35,Fiber optic,Month-to-month,81.81100634157272,2893.1081506608366,No
Male,0,No,No,36,,Month-to-month,110.19970955719207,3978.9999073358395,No
Female,0,Yes,Yes,64,DSL,One year,56.3758572598928,3622.967901672734,No
Female,0,No,Yes,32,Fiber optic,Two year,104.18834839322415,3308.2121408557805,No
Male,0,No,No,18,Fiber optic,Month-to-month,78.2801499906617,1419.5916836164488,Yes
Male,0,No,No,34,DSL,One year,61.542170026256834,2087.0193378428085,No
Female,0,Yes,Yes,56,Fiber optic,Two year,76.3308149779953,4291.616433199647,No
Female,1,Yes,Yes,67,No,Month-to-month,28.404179133952898,1900.71711159581,No
Female,0,No,No,53,DSL,Two year,49.74375824228851,2647.5992091273565,No
Male,0,No,No,67,Fiber optic,One year,92.62332643844073,6221.166137390309,No
Male,0,No,Yes,66,Fiber optic,Month-to-month,103.39846835872154,6840.17362656304,No
Male,0,Yes,No,64,DSL,Month-to-month,75.08298326642475,4786.7159851742945,No
Male,0,Yes,Yes,67,DSL,One year,46.611560123411124,,No
Male,0,No,No,39,DSL,Month-to-month,75.73076461670793,2959.8468049820644,Yes
Male,0,Yes,No,38,DSL,Month-to-month,55.6015059170916,2128.650845026636,No
Female,0,No,No,40,DSL,Month-to-month,73.75186274423524,2951.549547196962,No
Male,0,Yes,Yes,19,Fiber optic,One year,95.62739592088815,1789.2147134278578,No
Male,0,Yes,Yes,5,No,Month-to-month,36.555214294073494,202.34788958667738,Yes
Male,0,No,No,69,DSL,Month-to-month,66.51296270080799,4596.1033219713245,No
Female,0,No,Yes,14,Fiber optic,Month-to-month,95.43580703083842,1358.321684954839,Yes
Male,0,Yes,Yes,49,,One year,52.50154532001315,2555.9534403269163,No
Male,0,Yes,No,64,DSL,Month-to-month,78.75636350474622,5032.099710120328,No
Female,0,No,No,57,DSL,Month-to-month,72.03590630665671,4112.743012466921,No
Male,0,Yes,Yes,35,DSL,Month-to-month,55.24748740689046,1934.86846105023,No
Male,0,No,Yes,5,No,Month-to-month,19.16808982647615,88.68637792192072,No
Male,0,Yes,Yes,39,DSL,Month-to-month,71.18141674373175,2782.796410410766,No
Male,0,No,No,24,Fiber optic,One year,119.49721439054599,2903.6782068212383,Yes
Male,1,No,Yes,40,DSL,One year,51.15899815169888,2057.805972335945,Yes
Female,0,No,No,50,DSL,One year,76.63452289339983,3861.051555283702,No
Female,0,Yes,Yes,58,No,Month-to-month,18.134267639698006,1047.5912937206833,No
Female,0,No,No,1,DSL,Month-to-month,78.08825017007416,79.45151380372064,Yes
Male,0,Yes,No,43,No,Two year,33.63347281107659,1452.3173768623242,No
Male,0,Yes,Yes,39,DSL,Month-to-month,53.863849170548136,2089.578162404008,No
Male,0,No,No,10,Fiber optic,One year,85.23159111481169,858.6055380555711,Yes
Female,1,No,Yes,2,No,Two year,31.085883848483782,101.36724972686011,No
Male,0,No,No,63,DSL,One year,63.740285610347996,4059.246846395237,No
Male,0,Yes,No,16,Fiber optic,Month-to-month,115.94683507468432,1889.5302374159746,Yes
Female,0,Yes,Yes,37,Fiber optic,Month-to-month,108.31215671046071,4015.191999622657,Yes
Male,0,Yes,No,16,DSL,Month-to-month,61.61459490295707,967.8550718745528,Yes
Female,0,No,No,27,Fiber optic,One year,,3203.3883792046627,Yes
Female,0,No,Yes,63,DSL,One year,63.70922525332875,4000.834429263812,No
Female,0,Yes,Yes,64,DSL,One year,73.98739342642709,4773.303137779025,Yes
Male,0,No,Yes,32,DSL,Month-to-month,73.63770608391425,2365.5561391778974,Yes
Male,0,Yes,Yes,9,No,Two year,37.979871473738406,315.9947404605082,No
Male,0,Yes,Yes,11,DSL,One year,42.70408125116418,432.6991698333707,No
Male,0,Yes,No,70,DSL,Month-to-month,63.35278671787111,4469.456350465543,No
Male,0,Yes,Yes,30,Fiber optic,Month-to-month,93.41962955855246,2788.232567493089,No
Male,0,Yes,Yes,15,DSL,One year,59.6216953385869,862.8263843566534,No
Male,0,No,No,59,Fiber optic,Month-to-month,92.99553018101014,5480.016809776291,No
Female,0,Yes,Yes,48,DSL,Month-to-month,73.49866757689364,3527.808974341093,No
Male,1,No,No,60,Fiber optic,Month-to-month,85.92164487084693,5164.573161936793,No
Female,0,Yes,No,68,Fiber optic,One year,93.13755408148893,6341.333443118484,Yes
Male,0,No,No,57,DSL,Month-to-month,48.027301716043425,2719.243999892637,No
Male,1,No,No,64,DSL,Month-to-month,50.06866463698939,3204.434544019788,No
Male,0,No,No,54,Fiber optic,Two year,103.02100416719375,5606.072098247009,Yes
Female,0,Yes,No,54,Fiber optic,One year,75.8467969125331,4069.413419199182,No
Female,0,,No,59,DSL,One year,47.512872439787095,2815.033145757087,No
Female,0,No,No,39,DSL,Month-to-month,61.12138238285256,2357.384854661296,Yes
Female,0,Yes,No,15,DSL,One year,41.75092111852054,615.9728199605102,No
Male,0,,No,28,Fiber optic,One year,76.34634997101958,2166.0081265352646,No
Female,0,Yes,No,36,No,Two year,36.583823474168724,1266.1835644874488,No
Male,0,No,No,54,DSL,Month-to-month,73.84587063179983,4040.129143838237,No
Male,0,Yes,Yes,17,DSL,Month-to-month,53.91104420187929,884.154590268407,Yes
Female,0,Yes,Yes,22,DSL,Month-to-month,53.91965261244738,1135.9968801968116,No
Female,0,Yes,Yes,36,DSL,One year,77.46061797056015,2789.067317664088,No
Female,0,Yes,No,29,Fiber optic,Month-to-month,71.29205695360116,2056.7445629554827,No
Female,1,No,No,55,No,Month-to-month,29.507387827131772,1607.4434295313738,No
Female,1,Yes,Yes,42,DSL,Month-to-month,63.89562316162909,2699.6538035806097,No
Female,0,No,No,32,Fiber optic,Month-to-month,109.39435335908306,3477.478832656906,Yes
Female,1,No,No,14,DSL,Month-to-month,78.07002063290403,1107.225332870263,Yes
Female,0,Yes,Yes,18,Fiber optic,Two year,87.7913793521672,1600.9262141759802,No
Male,1,No,No,38,Fiber optic,One year,91.89167367280007,3457.5785595679463,Yes
Female,0,Yes,No,34,DSL,Month-to-month,66.8519392208071,2298.627345959101,No
Female,0,,No,45,No,Month-to-month,39.18179055860442,1782.5113140286292,No
Male,0,Yes,Yes,32,DSL,Month-to-month,75.6316941494683,2459.02628419148,No
Female,0,No,No,67,Fiber optic,One year,103.35265016350223,6924.762100400936,No
Male,0,Yes,Yes,63,No,Month-to-month,36.41808929177555,2273.470061941606,No
Male,0,Yes,No,55,DSL,Two year,43.40817723565745,2418.801031185187,No
Female,0,No,Yes,43,Fiber optic,One year,88.85634714259263,3822.038731191637,No
Male,0,Yes,Yes,22,Fiber optic,Month-to-month,70.65462478494236,1599.9729565417508,No
Male,0,No,Yes,68,No,Two year,19.43680595652376,1339.4362945720918,No
Male,0,Yes,Yes,29,Fiber optic,One year,101.5246285601201,2943.567069802144,No
Male,0,No,No,40,DSL,Month-to-month,75.42246494934668,2994.8617655135167,Yes
Female,0,Yes,Yes,45,Fiber optic,Month-to-month,101.63901549958977,4571.146409989766,No
Male,0,No,Yes,10,Fiber optic,One year,103.20690535042834,1055.5014635235514,Yes
Female,0,Yes,Yes,45,Fiber optic,Month-to-month,75.19108026281009,3345.895022852898,No
Male,0,Yes,Yes,17,No,Month-to-month,31.621512272834497,527.4395042828858,No
Male,1,Yes,No,2,DSL,Month-to-month,58.173868694767634,75.98627613908121,No
Male,0,No,No,17,DSL,Month-to-month,66.05760926327294,1096.9539896031092,Yes
Male,0,Yes,Yes,38,Fiber optic,Month-to-month,86.30865547649137,3264.4469556460267,Yes
Female,1,No,No,37,No,Two year,29.537148541579253,1086.1062032905252,No
Female,0,No,Yes,63,Fiber optic,One year,91.20346484154948,5754.652186285958,No
Male,0,Yes,Yes,5,No,One year,28.96592638587652,162.3737631353236,Yes
Male,0,No,No,25,No,One year,18.677237958245,501.51713971154237,No
Female,0,Yes,No,22,No,One year,24.895621340432125,587.7838230135751,Yes
Male,0,Yes,Yes,63,No,Two year,24.356966431421352,1564.1204710579932,No
Male,0,No,No,35,No,Month-to-month,33.40986301632021,1159.8597183931024,No
Male,0,No,Yes,55,Fiber optic,One year,105.32047569840327,5798.471288421476,No
Female,1,No,No,20,Fiber optic,Month-to-month,115.44293423656666,2294.8016547062007,Yes
Female,0,,No,5,DSL,Two year,65.2822236913279,332.67723548559763,No
Female,0,Yes,No,39,DSL,Two year,52.581885191738934,2046.6764791866387,No
Male,0,Yes,Yes,63,DSL,Two year,71.32898652941326,4465.168696502911,No
Male,0,No,No,32,DSL,Month-to-month,59.879905741345056,1952.455948185419,No
Female,0,Yes,No,63,DSL,Month-to-month,47.73972842516314,3050.304754294374,No
Female,0,No,No,40,No,Month-to-month,33.68528670817816,1328.4594995824864,No
Female,0,Yes,Yes,17,Fiber optic,Month-to-month,76.62656978596145,1315.6705635315566,Yes
Female,0,Yes,Yes,32,DSL,Month-to-month,47.12613324984517,1490.1648072699682,No
Male,0,Yes,Yes,23,Fiber optic,Month-to-month,107.93779642175735,2480.5883478794694,Yes
Female,0,Yes,Yes,60,Fiber optic,One year,108.5072347035644,6497.14283768091,Yes
Male,0,,Yes,56,DSL,Month-to-month,71.63125075216861,3995.670958285827,No
Female,0,No,Yes,9,No,Two year,22.333128110427893,205.75229372719855,No
Male,0,No,No,69,DSL,Month-to-month,74.66349829486076,5106.3973937288465,No
Female,0,Yes,Yes,62,Fiber optic,Month-to-month,106.13340679810364,6567.198383844843,No
Female,0,Yes,No,64,DSL,One year,73.35869638205362,4795.346008140654,No
Female,0,Yes,No,22,Fiber optic,One year,105.43027423734449,2280.9384630945183,No
Female,1,No,No,32,Fiber optic,Month-to-month,98.97982293731702,3157.8470229839404,No
Male,0,Yes,Yes,47,DSL,Two year,44.37579086296077,2092.864874951541,Yes
Female,1,No,Yes,2,No,One year,32.773405298798735,61.05671664537511,No
Male,0,Yes,No,52,DSL,Two year,67.61843101832736,3497.0611481488163,No
Male,1,Yes,Yes,14,Fiber optic,Two year,85.62455666434302,1222.9442680449606,No
Male,0,,No,37,No,Month-to-month,33.39549422616065,1239.36773764796,No
Male,1,Yes,Yes,27,No,Two year,28.761363835783186,760.9706332126751,No
Female,1,No,Yes,24,DSL,Two year,62.3762495417366,1518.4617275564078,No
Male,0,Yes,Yes,64,DSL,Two year,54.7041871514285,,No
Male,1,Yes,Yes,70,Fiber optic,Two year,,5286.875371045988,No
Male,0,Yes,No,26,DSL,Two year,48.67713831463956,1280.300583615432,No
Female,0,No,No,54,Fiber optic,Month-to-month,108.4415826668029,5823.169137418351,No
Female,0,,No,15,Fiber optic,Month-to-month,83.5720775248447,1297.5273840025852,Yes
Female,0,Yes,No,29,Fiber optic,Two year,70.11265271678057,2071.16914695681,Yes
Female,0,No,No,28,DSL,One year,79.88069684526201,2250.3318408797904,No
Male,0,Yes,Yes,59,Fiber optic,Month-to-month,80.53411169251854,4736.957992897948,Yes
Male,1,Yes,No,21,No,Month-to-month,31.384578721759844,632.3808873475455,Yes
Female,0,Yes,Yes,10,Fiber optic,One year,116.34610022874969,1099.141842251073,No
Male,0,Yes,Yes,4,Fiber optic,Month-to-month,99.98563673169684,440.34183803921303,Yes
Male,1,,Yes,62,DSL,Month-to-month,71.9612246033783,4437.35999747529,No
Male,1,No,Yes,4,DSL,Month-to-month,79.0548684859526,325.0719787444656,No
Female,1,Yes,Yes,6,DSL,One year,74.41453703719142,451.46174051997326,No
Female,0,Yes,No,72,Fiber optic,Month-to-month,97.89520443391808,7006.641943270353,No
Male,1,Yes,No,16,DSL,Month-to-month,54.54811721928304,857.6590330334909,No
Female,0,No,Yes,38,Fiber optic,One year,94.12322245819797,3548.356194137079,No
Female,0,No,No,49,Fiber optic,One year,112.09130840952722,5512.301233304147,Yes
Female,0,Yes,Yes,61,Fiber optic,Month-to-month,112.66773050753201,6893.660910634714,No
Female,0,Yes,Yes,65,DSL,Month-to-month,73.83419689433455,4793.121365140029,No
Female,0,Yes,Yes,50,Fiber optic,One year,99.86122013750055,4971.992071647631,No
Male,0,Yes,Yes,17,Fiber optic,One year,93.84779588788065,1600.1115520068788,Yes
Female,0,Yes,Yes,28,DSL,Month-to-month,52.45352224382647,1496.3772478217732,No
Male,0,Yes,Yes,44,DSL,Month-to-month,40.134434207277174,1728.8763902573457,Yes
Male,0,Yes,Yes,12,Fiber optic,Two year,108.22426354304778,1351.5079009683536,No
Female,0,Yes,Yes,70,DSL,Two year,51.079931200562186,3569.500394071804,No
Male,0,Yes,No,71,DSL,Month-to-month,53.1871158154135,3773.314453222416,No
Male,0,No,No,72,DSL,Month-to-month,73.73924899388176,5349.29232172011,No
Male,0,No,No,3,DSL,Month-to-month,42.09004628490482,124.87538658868482,No
Female,0,No,Yes,49,No,Month-to-month,38.190508286435964,1868.706901014761,Yes
Female,1,Yes,Yes,21,Fiber optic,Month-to-month,70.06809612192532,1448.5937194822334,Yes
Male,0,Yes,Yes,8,Fiber optic,Month-to-month,116.95845574127031,921.240313404181,No
Female,0,Yes,Yes,64,No,One year,26.36896227708541,1669.9600348105002,No
Female,0,No,No,59,Fiber optic,Month-to-month,75.10613125759097,4387.119629603758,Yes
Female,0,Yes,No,30,Fiber optic,Two year,103.70806836205936,3059.2356560098656,Yes
Female,0,No,No,32,DSL,One year,75.83425702884887,2420.906266319778,No
Male,0,No,Yes,20,Fiber optic,One year,91.90364084238101,1803.5463802942747,No
Male,0,Yes,Yes,16,DSL,Two year,67.65431616122666,1098.7855276737978,No
Female,0,No,No,25,Fiber optic,One year,118.9681360094647,2968.6845753558096,No
Female,0,Yes,Yes,60,DSL,Two year,49.6280329485202,2937.7897639157723,No
